,Szint,Lakás tájolása,Bo kód,Lakás szám,Szoba szám,ALAPTERÜLET,Terasz/erkéy,Kertkapcsolat,Összesen,m2 Ár,Kulcsarész ár,Fűtéskész ár,Elérhető
FÖLDSZINT,F,É-Ny,,L1,1+2,"66,13","8,39",40,"70,325",  990 000 Ft ,  69 621 750 Ft ,,I
,F,K,,L2,1+1,"41,4",8,35,"45,4",  1 040 000 Ft ,  47 216 000 Ft ,,I
,F,D-K,,L3,1+2,"63,65",8,124,"67,65",  990 000 Ft ,  66 973 500 Ft ,,N
,F,D,,L4,1+1,"46,1","7,5",,"49,85",  1 040 000 Ft ,  51 844 000 Ft ,,I
,F,D,,L5,1+1,"45,94","7,5",,"49,69",  1 040 000 Ft ,  51 677 600 Ft ,,I
,F,D,,L6,1+1,"45,79","7,5",,"49,54",  1 040 000 Ft ,  51 521 600 Ft ,,I
,F,D,,L7,1+4,"105,42","11,2",,"111,02",  990 000 Ft ,  109 909 800 Ft ,,I
,F,Ny,,L8,1+3,"91,42","10,36",,"96,6",  990 000 Ft ,  95 634 000 Ft ,,I
,F,Ny,,L9,1+4,"105,47","11,2",,"111,07",  990 000 Ft ,  109 959 300 Ft ,,I
,F,É-K,,L10,1+3,"69,69","7,7",,"73,54",  990 000 Ft ,  72 804 600 Ft ,,N
1.EMELET,1,É-K,,L11,1+2,"66,13","4,38",0,"68,32",  990 000 Ft ,  67 636 800 Ft ,,I
,1,K,,L12,1+1,"41,4","3,84",0,"43,32",  1 040 000 Ft ,  45 052 800 Ft ,,I
,1,D-K,,L13,1+2,"63,65","3,84",0,"65,57",  990 000 Ft ,  64 914 300 Ft ,,I
,1,D,,L14,1+1,"46,1","3,6",0,"47,9",  1 040 000 Ft ,  49 816 000 Ft ,,I
,1,D,,L15,1+1,"45,94","3,6",0,"47,74",  1 040 000 Ft ,  49 649 600 Ft ,,I
,1,D,,L16,1+1,"45,79","3,6",0,"47,59",  1 040 000 Ft ,  49 493 600 Ft ,,I
,1,É-K,,L17,1+3,"69,69","3,6",0,"71,49",  990 000 Ft ,  70 775 100 Ft ,,I
2.EMELET,2,É-K,,L18,1+2,"56,22","4,38",0,"58,41",  990 000 Ft ,  57 825 900 Ft ,,N
,2,K,,L19,1+1,"40,02","24,8",0,"52,42",  1 040 000 Ft ,  54 516 800 Ft ,,I
,2,D-K,,L20,1+1,"40,55","18,42",0,"49,76",  1 040 000 Ft ,  51 750 400 Ft ,,I
,2,D,,L21,1+1,"47,15","6,86",0,"50,58",  1 040 000 Ft ,  52 603 200 Ft ,,I
,2,D,,L22,1+1,"46,19","3,6",0,"47,99",  1 040 000 Ft ,  49 909 600 Ft ,,I
,2,D-Ny,,L23,1+1,"43,77","24,9",0,"56,22",  1 040 000 Ft ,  58 468 800 Ft ,,I
,2,Ny,,L24,1+3,"72,68","13,11",0,"79,235",  990 000 Ft ,  78 442 650 Ft ,,N
